idOeuv;idPers;idStud;titre;dateSortie;synopsis;noteMoyenne
1;4;5;Who Civil Before Time Stand Home;1982-09-14;Special around support even money daughter. Government law mouth his individual. Down father risk catch late research food experience.;0
2;4;12;Avoid Fact Modern;1981-09-24;Tend politics price knowledge agency reduce friend. Person level every movie movement guy. Life each only believe loss.;0
3;4;12;Finish Network Performance Yes That One;1988-02-05;Order indicate energy back discussion another. Rock debate party less whom. Another summer ahead break before.;0
4;1;11;Listen Eat View;2023-10-02;Expert teacher ground but must parent billion. Across head party past fact meet its. Explain point finish anything career front.;0
5;6;13;Half Return Never;1988-08-13;Another often unit there my. Record particularly wife research see continue side. Protect service statement cell. Newspaper national member suddenly wish nothing.;0
6;8;11;Force Owner Or;2018-10-17;City ok know again enter under. His we policy career of culture.;0
7;10;20;Would Five Art Various Appear First;2009-10-10;Onto war customer growth few seek identify test. Exist so challenge produce air always. Spring everything per our Mrs.;0
8;8;12;Sure Group Find New Work;1997-07-08;Education stop mention. Leader check certainly product season.;0
9;7;11;Environmental Appear Federal Message Door Development;2008-10-16;Bed game somebody participant start along. Newspaper hope mother any. Store purpose truth put just first later like. Clear probably simple information than. Next give other simple rate heart discussion.;0
10;3;18;Democratic Will Food;2010-03-29;Property on page certain day. Herself I piece. Early marriage right above check continue. Same body technology detail management claim buy. Class try statement arm school cell pay sometimes.;0
11;8;12;Happen Card Some Base Teacher;2017-11-13;Tree little to you best best. Like worry despite wear.;0
12;1;11;Former Recognize The;2000-05-07;Himself program add administration although appear. But now federal range. Father toward send view research. Wait administration third contain good onto risk part. Culture production age firm.;0
13;1;17;Thing Contain Yard Lay Culture Inside;1998-03-15;Address pattern guess husband perhaps. Candidate in almost top. Gun nice early alone rule.;0
14;2;17;Citizen Give Describe Share Despite;1995-04-06;International walk door top attorney young. Ability across certainly lead high.;0
15;10;4;Upon Bank Back Coach;2020-11-25;Truth word friend mission. Give I Mr. Grow subject blue reason field.;0
16;2;13;Him Full Toward;2020-10-30;Last old beautiful special do activity. Before ability kid smile.;0
